file_name_1,標記
20,台灣小吃/熱炒店
21,
25,台灣小吃/熱炒店
28,台灣小吃/熱炒店
36,台灣小吃/熱炒店
39,台灣小吃/熱炒店
46,台灣小吃/熱炒店
51,台灣小吃/熱炒店
53,台灣小吃/熱炒店
62,
63,台灣小吃/熱炒店
64,台灣小吃/熱炒店
68,
71,台灣小吃/熱炒店
78,台灣小吃/熱炒店
99,火鍋
100,火鍋
103,火鍋
111,火鍋
119,台灣小吃/熱炒店
133,台灣小吃/熱炒店
137,台灣小吃/熱炒店
139,台灣小吃/熱炒店
140,意式
141,咖啡甜點
143,
145,咖啡甜點
150,咖啡甜點
187,咖啡甜點
191,台灣小吃/熱炒店
192,港式
193,日式
195,日式
197,台灣小吃/熱炒店
199,港式
201,
202,早午餐
206,意式
208,
209,早午餐
214,美式
218,異國料理
222,港式
236,日式
241,美式
243,
244,咖啡甜點
248,
251,美式
252,
257,
260,意式
269,台灣小吃/熱炒店
271,台灣小吃/熱炒店
277,
281,日式
287,美式
289,韓式
308,韓式
310,韓式
324,咖啡甜點
336,異國料理
343,異國料理
356,台灣小吃/熱炒店
357,
361,日式
368,異國料理
371,
372,
373,台灣小吃/熱炒店
387,
420,南洋
425,台灣小吃/熱炒店
430,素食
446,港式
454,港式
460,港式
470,台灣小吃/熱炒店
479,台灣小吃/熱炒店
481,台灣小吃/熱炒店
482,台灣小吃/熱炒店
485,南洋
488,南洋
495,南洋
504,南洋
532,南洋
536,南洋
540,台灣小吃/熱炒店
542,港式
545,南洋
547,韓式
556,港式
560,酒吧/餐酒館
562,酒吧/餐酒館
566,酒吧/餐酒館
569,酒吧/餐酒館
570,咖啡甜點
571,酒吧/餐酒館
573,酒吧/餐酒館
576,酒吧/餐酒館
578,酒吧/餐酒館
580,酒吧/餐酒館
583,酒吧/餐酒館
585,意式
587,酒吧/餐酒館
589,酒吧/餐酒館
592,酒吧/餐酒館
598,日式
638,咖啡甜點
659,台灣小吃/熱炒店
660,台灣小吃/熱炒店
664,台灣小吃/熱炒店
668,台灣小吃/熱炒店
670,台灣小吃/熱炒店
675,台灣小吃/熱炒店
677,
678,台灣小吃/熱炒店
679,台灣小吃/熱炒店
682,台灣小吃/熱炒店
693,台灣小吃/熱炒店
694,台灣小吃/熱炒店
697,台灣小吃/熱炒店
698,台灣小吃/熱炒店
708,中式
713,台灣小吃/熱炒店
720,咖啡甜點
721,
727,早午餐
748,早午餐
776,咖啡甜點
783,燒烤店
792,燒烤店
796,台灣小吃/熱炒店
803,
809,台灣小吃/熱炒店
811,日式
817,台灣小吃/熱炒店
823,異國料理
827,港式
828,
854,台灣小吃/熱炒店
860,
872,台灣小吃/熱炒店
876,台灣小吃/熱炒店
880,異國料理
883,港式
884,台灣小吃/熱炒店
886,台灣小吃/熱炒店
888,台灣小吃/熱炒店
893,火鍋
895,台灣小吃/熱炒店
898,台灣小吃/熱炒店
899,台灣小吃/熱炒店
902,
908,日式
910,中式
911,日式
915,咖啡甜點
925,日式
940,咖啡甜點
953,早午餐
966,異國料理
976,中式
995,中式
1009,
1011,台灣小吃/熱炒店
1019,台灣小吃/熱炒店
1023,
1024,咖啡甜點
1027,
1031,日式
1043,異國料理
1045,台灣小吃/熱炒店
1051,意式
1056,咖啡甜點
1059,咖啡甜點
1062,異國料理
1063,
1067,咖啡甜點
1075,美式
1076,咖啡甜點
1077,意式
1080,
1084,酒吧/餐酒館
1093,異國料理
1097,咖啡甜點
1099,咖啡甜點
1109,台灣小吃/熱炒店
1132,
1134,素食
1150,素食
1151,素食
1159,素食
1164,
1180,台灣小吃/熱炒店
1182,台灣小吃/熱炒店
1183,台灣小吃/熱炒店
1185,台灣小吃/熱炒店
1187,台灣小吃/熱炒店
1193,台灣小吃/熱炒店
1208,
1220,早午餐
1225,早午餐
1226,早午餐
1233,台灣小吃/熱炒店
1252,中式
1254,中式
1256,台灣小吃/熱炒店
1266,中式
1286,台灣小吃/熱炒店
1292,
1296,美式
1297,咖啡甜點
1299,咖啡甜點
1310,日式
1312,台灣小吃/熱炒店
1313,
1319,中式
1325,台灣小吃/熱炒店
1327,台灣小吃/熱炒店
1352,
1369,韓式
1370,意式
1373,早午餐
1380,咖啡甜點
1384,咖啡甜點
1388,日式
1408,
1410,
1413,台灣小吃/熱炒店
1415,台灣小吃/熱炒店
1418,
1425,
1436,台灣小吃/熱炒店
1441,台灣小吃/熱炒店
1463,台灣小吃/熱炒店
1464,台灣小吃/熱炒店
1466,早午餐
1476,台灣小吃/熱炒店
1479,台灣小吃/熱炒店
1483,
1484,中式
1492,
1496,韓式
1497,咖啡甜點
1500,早午餐
1510,火鍋
1517,日式
1521,台灣小吃/熱炒店
1540,台灣小吃/熱炒店
1545,咖啡甜點
1549,
1554,燒烤店
1563,咖啡甜點
1566,意式
1571,意式
1585,異國料理
1594,日式
1603,台灣小吃/熱炒店
1605,咖啡甜點
1614,
1620,酒吧/餐酒館
1629,台灣小吃/熱炒店
1633,台灣小吃/熱炒店
1635,中式
1637,台灣小吃/熱炒店
1671,
1674,台灣小吃/熱炒店
1677,韓式
1684,中式
1686,日式
1689,咖啡甜點
1706,中式
1710,咖啡甜點
1738,咖啡甜點
1742,台灣小吃/熱炒店
1776,台灣小吃/熱炒店
1786,異國料理
1790,中式
1798,台灣小吃/熱炒店
1807,
1812,台灣小吃/熱炒店
1813,咖啡甜點
1815,美式
1829,
1830,意式
1836,
1851,台灣小吃/熱炒店
1852,
1859,異國料理
1870,韓式
1873,台灣小吃/熱炒店
1875,台灣小吃/熱炒店
1882,台灣小吃/熱炒店
1883,台灣小吃/熱炒店
1884,
1885,
1888,
1889,台灣小吃/熱炒店
1893,
1901,台灣小吃/熱炒店
1920,早午餐
1929,台灣小吃/熱炒店
1936,台灣小吃/熱炒店
1937,台灣小吃/熱炒店
1938,異國料理
1944,早午餐
1956,台灣小吃/熱炒店
1965,異國料理
1972,火鍋
1973,咖啡甜點
1976,異國料理
1979,酒吧/餐酒館
1980,
1981,台灣小吃/熱炒店
1982,
1984,
1999,
2003,酒吧/餐酒館
2005,酒吧/餐酒館
2014,
2016,台灣小吃/熱炒店
2022,台灣小吃/熱炒店
2025,日式
2056,酒吧/餐酒館
2057,酒吧/餐酒館
2058,酒吧/餐酒館
2059,酒吧/餐酒館
2061,酒吧/餐酒館
2062,酒吧/餐酒館
2070,異國料理
2071,異國料理
2072,酒吧/餐酒館
2074,酒吧/餐酒館
2079,台灣小吃/熱炒店
2082,台灣小吃/熱炒店
2083,異國料理
2117,美式
2122,咖啡甜點
2124,美式
2130,意式
2135,咖啡甜點
2145,咖啡甜點
2163,酒吧/餐酒館
2165,酒吧/餐酒館
2166,酒吧/餐酒館
2169,異國料理
2171,酒吧/餐酒館
2193,
2196,
2199,台灣小吃/熱炒店
2206,
2212,台灣小吃/熱炒店
2213,日式
2214,酒吧/餐酒館
2222,台灣小吃/熱炒店
2223,台灣小吃/熱炒店
2256,台灣小吃/熱炒店
2277,意式
2281,咖啡甜點
2285,咖啡甜點
2287,咖啡甜點
2288,咖啡甜點
2289,咖啡甜點
2318,異國料理
2327,
2330,異國料理
2342,台灣小吃/熱炒店
2343,
2360,
2367,韓式
2372,港式
2378,酒吧/餐酒館
2382,酒吧/餐酒館
2383,酒吧/餐酒館
2386,酒吧/餐酒館
2387,酒吧/餐酒館
2389,咖啡甜點
2390,
2404,燒烤店
2419,韓式
2420,意式
2422,台灣小吃/熱炒店
2433,火鍋
2445,異國料理
2447,中式
2448,咖啡甜點
2451,台灣小吃/熱炒店
2455,意式
2466,台灣小吃/熱炒店
2473,
2482,台灣小吃/熱炒店
2485,
2487,美式
2497,日式
2507,火鍋
2510,早午餐
2511,美式
2514,
2526,早午餐
2533,酒吧/餐酒館
2540,咖啡甜點
2543,
2547,異國料理
2560,意式
2561,早午餐
2562,台灣小吃/熱炒店
2565,意式
2568,異國料理
2580,台灣小吃/熱炒店
2582,
2589,異國料理
2611,台灣小吃/熱炒店
2620,台灣小吃/熱炒店
2624,台灣小吃/熱炒店
2625,
2627,日式
2637,港式
2642,港式
2649,南洋
2672,咖啡甜點
2678,早午餐
2689,異國料理
2696,異國料理
2697,酒吧/餐酒館
2701,酒吧/餐酒館
2731,早午餐
2734,早午餐
2745,燒烤店
2757,日式
2779,咖啡甜點
2781,異國料理
2783,台灣小吃/熱炒店
2786,酒吧/餐酒館
2788,火鍋
2797,
2798,
2800,
2805,
2808,台灣小吃/熱炒店
2811,台灣小吃/熱炒店
2815,台灣小吃/熱炒店
2824,
2846,咖啡甜點
2850,南洋
2865,早午餐
2868,台灣小吃/熱炒店
2871,台灣小吃/熱炒店
2872,台灣小吃/熱炒店
2873,台灣小吃/熱炒店
2884,台灣小吃/熱炒店
2888,
2895,台灣小吃/熱炒店
2901,
2914,
2938,火鍋
2943,日式
2972,台灣小吃/熱炒店
3007,韓式
3008,台灣小吃/熱炒店
3026,港式
3062,台灣小吃/熱炒店
3092,台灣小吃/熱炒店
3095,台灣小吃/熱炒店
3099,台灣小吃/熱炒店
3105,咖啡甜點
3110,
3112,咖啡甜點
3119,早午餐
3123,
3125,台灣小吃/熱炒店
3129,台灣小吃/熱炒店
3143,台灣小吃/熱炒店
3148,
3158,南洋
3161,韓式
3165,異國料理
3169,咖啡甜點
3172,酒吧/餐酒館
3183,酒吧/餐酒館
3205,美式
3208,異國料理
3209,台灣小吃/熱炒店
3227,台灣小吃/熱炒店
3239,
3246,
3247,意式
3253,
3273,酒吧/餐酒館
3274,酒吧/餐酒館
3275,異國料理
3276,酒吧/餐酒館
3282,酒吧/餐酒館
3285,酒吧/餐酒館
3288,酒吧/餐酒館
3290,酒吧/餐酒館
3293,酒吧/餐酒館
3295,台灣小吃/熱炒店
3306,台灣小吃/熱炒店
3307,中式
3372,韓式
3374,韓式
3376,韓式
3378,韓式
3380,
3385,
3389,南洋
3403,台灣小吃/熱炒店
3426,
3439,韓式
3444,
3445,咖啡甜點
3459,台灣小吃/熱炒店
3469,
3477,咖啡甜點
3483,早午餐
3489,火鍋
3493,台灣小吃/熱炒店
3504,台灣小吃/熱炒店
3512,台灣小吃/熱炒店
3516,台灣小吃/熱炒店
3518,台灣小吃/熱炒店
3519,日式
3528,台灣小吃/熱炒店
3531,
3534,台灣小吃/熱炒店
3541,台灣小吃/熱炒店
3564,台灣小吃/熱炒店
3571,韓式
3575,酒吧/餐酒館
3581,意式
3590,咖啡甜點
3592,咖啡甜點
3598,港式
3606,
3609,台灣小吃/熱炒店
3610,台灣小吃/熱炒店
3618,早午餐
3621,異國料理
3625,酒吧/餐酒館
